year,scenario,seed,decommissioned,total_treated,annual_treatment_to_inflow_ratio,desired_total_flow,unmet_flow,backlog_considered,opening_untreated_stock,untreated_stock,untreated_stock_share,net_untreated_stock_increase,net_untreated_stock_increase_share,stock_drawdown,direct_reuse_flow,direct_reuse_share,incumbent_open_loop_flow,incumbent_open_loop_treatment_share,solvolysis_treated_flow,solvolysis_treatment_share,closed_loop_material_flow,closed_loop_equivalent_wtb_flow,closed_loop_wtb_flow_share,annual_direct_reuse_to_inflow_ratio,annual_open_loop_to_inflow_ratio,annual_solvolysis_to_inflow_ratio,total_open_loop_utilization,total_closed_loop_utilization,recovered_material_utilization_share,open_loop_utilization_share,closed_loop_utilization_share,total_opening_capacity,total_closing_capacity,opening_capacity_gap,treatment_capacity_utilization,virgin_material_displacement,avoided_ghg_index,average_processing_cost,effective_closed_loop_demand,adoption_activated_closed_loop_demand,mandate_activated_closed_loop_demand,opening_trl_solvolysis,opening_solvolysis_available,trl_solvolysis,solvolysis_available,manufacturer_adoption_probability,manufacturer_realized_adoption_share,perceived_risk,supply_reliability,certification_score,price_advantage,switches_to_solvolysis,recycler_exits,recycler_expansions,recycler_contractions,active_recyclers,solvolysis_recyclers,desired_flow_reuse,flow_reuse,unmet_flow_reuse,desired_share_reuse,opening_capacity_reuse,capacity_reuse,capacity_change_reuse,cost_reuse,desired_flow_repurposing,flow_repurposing,unmet_flow_repurposing,desired_share_repurposing,opening_capacity_repurposing,capacity_repurposing,capacity_change_repurposing,cost_repurposing,desired_flow_mechanical_recycling,flow_mechanical_recycling,unmet_flow_mechanical_recycling,desired_share_mechanical_recycling,opening_capacity_mechanical_recycling,capacity_mechanical_recycling,capacity_change_mechanical_recycling,cost_mechanical_recycling,desired_flow_pyrolysis,flow_pyrolysis,unmet_flow_pyrolysis,desired_share_pyrolysis,opening_capacity_pyrolysis,capacity_pyrolysis,capacity_change_pyrolysis,cost_pyrolysis,desired_flow_recovery,flow_recovery,unmet_flow_recovery,desired_share_recovery,opening_capacity_recovery,capacity_recovery,capacity_change_recovery,cost_recovery,desired_flow_solvolysis,flow_solvolysis,unmet_flow_solvolysis,desired_share_solvolysis,opening_capacity_solvolysis,capacity_solvolysis,capacity_change_solvolysis,cost_solvolysis,recovered_generation_mechanical_recycling,available_recovered_material_mechanical_recycling,open_loop_utilization_mechanical_recycling,closed_loop_utilization_mechanical_recycling,recovered_stock_mechanical_recycling,recovered_generation_pyrolysis,available_recovered_material_pyrolysis,open_loop_utilization_pyrolysis,closed_loop_utilization_pyrolysis,recovered_stock_pyrolysis,recovered_generation_solvolysis,available_recovered_material_solvolysis,open_loop_utilization_solvolysis,closed_loop_utilization_solvolysis,recovered_stock_solvolysis,recovery_resource_credit,mean_recycler_profit_mechanical_recycling,mean_recycler_profit_pyrolysis,mean_recycler_profit_solvolysis,mean_recycler_profit_recovery
2036,post_2025_baseline,42,141.0598760621121,141.05987606211204,0.9999999999999996,141.05987606211204,0.0,0.0,0.0,5.684341886080802e-14,4.3253274847174903e-17,5.684341886080802e-14,4.0297369066011707e-16,0.0,15.0,0.10633782205646587,126.05987606211204,0.8936621779435341,0.0,0.0,0.0,0.0,0.0,0.10633782205646583,0.8936621779435338,0.0,35.7309618972057,0.0,1.0,1.0,0.0,204.4791624317989,209.32494591890293,0.0,0.6898496374131058,14.669669833578615,69.85716073188459,426.1434636896474,1.716869882636126,1.716869882636126,0.0,6.818181818181817,False,6.999999999999998,False,0.1554259907655758,0.11666666666666667,0.3043568034287193,0.4,0.41007959073744527,-0.05555555555555555,0,0,28,0,40,0,59.24514794608705,5.0,0.0,0.38570508570559187,5.0,5.0,0.0,250.0,35.26496901552801,10.0,0.0,0.24934291978705211,10.0,10.0,0.0,350.0,19.74838264869569,54.692569923793066,0.0,0.14015659005785,82.56494018863933,85.58894606114433,3.0240058725050054,453.3224139160307,7.052993803105605,8.692382214030019,0.0,0.05780290615075101,10.0,10.0,0.0,787.6838706897647,19.74838264869569,62.674923924288954,0.0,0.16699249829875487,96.91422224315957,98.73599985775859,1.8217776145990086,378.485135656632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,30.08091345808619,30.08091345808619,30.08091345808619,0.0,0.0,5.650048439119512,5.650048439119512,5.650048439119511,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,18.802477177286686,3408.4656376286425,0.0,0.0,1744.712650780027
2037,post_2025_baseline,42,145.99697172428603,145.99697172428608,1.0000000000000004,145.99697172428608,0.0,5.684341886080802e-15,5.684341886080802e-14,0.0,0.0,0.0,0.0,5.684341886080802e-14,15.0,0.10274185705938722,130.99697172428608,0.8972581429406128,0.0,0.0,0.0,0.0,0.0,0.10274185705938726,0.8972581429406131,0.0,36.54279492078652,0.0,1.0,1.0,0.0,209.32494591890293,214.40139443405963,0.0,0.6974657085584464,14.990191993934516,72.35616385716142,422.2523282733027,1.9135142308650188,1.9135142308650188,0.0,6.999999999999998,False,7.18181818181818,True,0.17151281889321576,0.25,0.2967332671922223,0.4,0.4999999999999991,-0.05555555555555555,0,0,29,0,40,0,56.9388189724716,5.0,0.0,0.38571078775167955,5.0,5.0,0.0,250.0,35.03927321382865,10.0,0.0,0.24877504785135637,10.0,10.0,0.0,350.0,21.8995457586429,56.842357956554714,0.0,0.14066737901908621,85.58894606114433,88.64885450950256,3.0599084483582244,450.5709394199982,5.839878868971441,8.122304684125272,0.0,0.05780334078229755,10.0,10.0,0.0,783.6010223777263,26.27945491037148,66.0323090836061,0.0,0.16704344459558018,98.73599985775859,100.75253992455707,2.016540066798478,377.4122198574147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,31.263296876105095,31.263296876105095,31.263296876105095,0.0,0.0,5.279498044681427,5.279498044681428,5.279498044681428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.809692725081828,3579.7721636674955,0.0,0.0,1853.2458269635802
2038,post_2025_baseline,42,151.10686573463602,151.10686573463596,0.9999999999999997,151.10686573463596,0.0,0.0,0.0,5.684341886080802e-14,3.527791968192101e-17,5.684341886080802e-14,3.7618025219736015e-16,0.0,15.0,0.09926749474336939,136.10686573463596,0.9007325052566306,0.0,0.0,0.0,0.0,0.0,0.09926749474336935,0.9007325052566303,0.0,40.66062657640419,0.0,1.0,1.0,0.0,214.40139443405963,160.3227413371778,0.0,0.7047849018589744,16.320526651799337,76.42669310131804,425.72478713943184,2.128543976434634,2.128543976434634,0.0,7.18181818181818,True,7.3636363636363615,True,0.18889747028297255,0.2,0.28910973095572534,0.4,0.5899204092625531,-0.05555555555555555,22,0,16,0,40,22,55.90954032181527,5.0,0.0,0.31003161619598124,5.0,5.0,0.0,250.0,30.221373146927203,10.0,0.0,0.2283296117017043,10.0,10.0,0.0,350.0,30.221373146927203,62.602091321864535,0.0,0.1480882146396945,88.64885450950256,78.42884587989006,-10.220008629612495,447.99475162356407,9.06641194407816,9.58380976827491,0.0,0.09252290368623559,10.0,10.0,0.0,780.0291703613148,18.13282388815632,63.92096464449651,0.0,0.15952487157423023,100.75253992455707,9.77468054978901,-90.97785937476806,376.38478781864734,7.555343286731801,0.0,0.0,0.0615027822021541,0.0,47.11921490749873,47.11921490749873,1200.0,34.4311502270255,34.4311502270255,34.4311502270255,0.0,0.0,6.229476349378692,6.229476349378692,6.229476349378692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.176289393348952,3980.632577171678,0.0,0.0,1808.0955390783213
2039,post_2025_baseline,42,156.39560603534827,156.3956060353483,1.0000000000000002,156.3956060353483,0.0,5.684341886080802e-15,5.684341886080802e-14,2.842170943040401e-14,1.607836814361062e-17,0.0,0.0,2.842170943040401e-14,15.0,0.09591062294045348,95.80867620550416,0.6126046545313404,45.58692982984414,0.2914847225282061,3.065305981402393,3.8316324767529912,0.0244996171816168,0.0959106229404535,0.6126046545313405,0.2914847225282062,81.72293549311624,3.065305981402393,0.9999999999999998,0.9638475108329307,0.03615248916706933,160.3227413371778,168.9755660002058,0.0,0.9755048144194948,45.41110499903375,105.14371328767216,669.7960385043261,3.065305981402393,3.065305981402393,0.0,7.3636363636363615,True,7.545454545454543,True,0.26933697211843516,0.3,0.2819638769718128,0.7,0.6742065062693051,-0.05555555555555555,0,0,27,0,40,22,37.53494544848359,5.0,0.0,0.3095635133668681,5.0,5.0,0.0,250.0,34.407033327776624,10.0,0.0,0.22798503825588795,10.0,10.0,0.0,350.0,21.89538484494876,76.03399565571515,0.0,0.14851158135317952,78.42884587989006,81.32636261601976,2.8975167361296985,445.4309784538321,26.58725302600921,10.0,0.0,0.09299435825937996,10.0,10.0,0.0,776.080348285918,25.023296965655728,9.77468054978901,0.0,0.1595303918168445,9.77468054978901,9.910600520332347,0.13591997054333643,375.47426577403996,10.947692422474379,45.58692982984414,0.0,0.061415116947840055,47.11921490749873,52.738602863853686,5.6193879563549585,1200.0,41.81869761064333,41.81869761064333,41.81869761064333,0.0,0.0,6.5,6.5,6.5,0.0,0.0,36.46954386387531,36.46954386387531,33.40423788247291,3.065305981402393,0.0,2.932404164936703,5798.855441904619,0.0,2453.4484772617507,3043.861468763136
2040,post_2025_baseline,42,161.86945224658544,161.8694522465854,0.9999999999999998,161.8694522465854,0.0,2.842170943040401e-15,2.842170943040401e-14,5.684341886080802e-14,2.9459141254638424e-17,2.842170943040401e-14,1.7558414534638392e-16,0.0,15.0,0.09266726854150098,97.0638764421988,0.5996429535965538,49.80557580438662,0.30768977786194524,3.3208641652798976,4.151080206599872,0.025644617616153314,0.09266726854150097,0.5996429535965537,0.3076897778619452,85.45789823525595,3.3208641652798976,1.0,0.9625939349064427,0.037406065093557254,168.9755660002058,145.71008066156168,0.0,0.9579459094481642,48.30183606533036,109.85145915485847,623.676132281034,3.3208641652798976,3.3208641652798976,0.0,7.545454545454543,True,7.727272727272725,True,0.28890288507876244,0.25,0.27566072279466997,0.7,0.7485528706953366,-0.05555555555555555,12,0,23,0,40,34,50.17953019644146,5.0,0.0,0.3240996478076351,5.0,5.0,0.0,250.0,38.8486685391805,10.0,0.0,0.22911389716350197,10.0,10.0,0.0,350.0,17.805639747124403,77.15327592186645,0.0,0.14440635542472116,81.32636261601976,31.73872280107568,-49.58763981494408,442.6315998846679,14.568250702192692,10.0,0.0,0.07952967564504727,10.0,10.0,0.0,772.230222458086,32.373890449317095,9.910600520332347,0.0,0.15871329935357933,9.910600520332347,1.5987211554602254e-14,-9.91060052033233,375.34147420426024,8.093472612329272,49.80557580438662,0.0,0.06413712460551516,52.738602863853686,88.97135786048597,36.23275499663227,1016.1808894371107,42.43430175702655,42.43430175702655,42.43430175702655,0.0,0.0,6.5,6.5,6.499999999999999,0.0,8.881784197001252e-16,39.8444606435093,39.8444606435093,36.5235964782294,3.3208641652798976,0.0,2.973180156099704,5946.127499209306,0.0,4505.969834542592,3089.412735683868
2041,post_2025_baseline,42,167.53488307521593,145.71008066156168,0.8697298018594978,167.5348830752159,21.824802413654226,5.684341886080802e-15,5.684341886080802e-14,21.82480241365431,0.01040712006806556,21.824802413654254,0.13027019814050222,0.0,15.0,0.10294414725389003,41.738722801075696,0.2864504817482156,88.97135786048597,0.6106053709978942,3.551496819110135,4.439371023887668,0.030467150959849646,0.08953359279372074,0.24913452073343323,0.5310616883323437,91.58188700987027,3.551496819110135,1.0,0.9626682382548842,0.037331761745115655,145.71008066156168,143.53547718751796,21.82480241365431,1.0,65.42855829288851,110.49902115738662,754.5065266252426,3.551496819110135,3.551496819110135,0.0,7.727272727272725,True,7.9090909090909065,True,0.3059079919995173,0.26666666666666666,0.2703920856446338,0.7,0.8106969983141012,-0.05555555555555555,6,0,29,0,40,40,51.935813753316914,5.0,9.257605974834458,0.3321094171470812,5.0,5.0,0.0,250.0,50.26046492256476,10.0,7.94096215260376,0.22926446402133277,10.0,10.0,0.0,350.0,20.104185969025917,31.73872280107568,0.0,0.14222687842575327,31.73872280107568,0.0,-31.738722801075703,440.0785307265419,6.701395323008637,10.0,0.0,0.07284619858016352,10.0,10.0,0.0,768.622959353121,23.454883630530237,1.5987211554602254e-14,4.626234286216007,0.1579158503407292,1.5987211554602254e-14,1.5987211554602254e-14,0.0,375.20846298831117,15.078139476769437,88.97135786048597,0.0,0.06563719148494006,88.97135786048597,118.53547718751793,29.56411932703196,938.9026847748387,17.456297540591628,17.456297540591628,17.456297540591628,0.0,0.0,6.5,6.500000000000001,6.500000000000001,0.0,0.0,71.17708628838878,71.17708628838878,67.62558946927864,3.551496819110135,0.0,4.796163466380676e-15,6579.470810165568,0.0,6128.520624495087,0.0
2042,post_2025_baseline,42,173.39860398284847,143.53547718751796,0.8277775823484461,175.58108422421392,32.04560703669597,2.182480241365431,21.82480241365431,51.687929208984826,0.022764982759712286,29.863126795330516,0.17222241765155383,0.0,15.0,0.10450378048629513,10.000000000000016,0.06966918699086354,118.53547718751793,0.8258270325228413,3.7511083647879095,4.688885455984886,0.032667083761175095,0.08650588675721811,0.05767059117147884,0.6836011044197492,97.57727338522643,3.7511083647879095,1.0,0.9629806743184529,0.037019325681547054,143.53547718751796,163.2401037054637,51.687929208984826,1.0,79.11270540001148,115.8776390125165,802.150274365731,3.7511083647879095,3.7511083647879095,0.0,7.9090909090909065,True,8.090909090909088,True,0.31990249703310936,0.35,0.26618264292355703,0.7,0.8603478165832393,-0.05555555555555555,0,0,34,0,40,40,47.406892740537764,5.0,9.240222932367606,0.3414821970553896,5.0,5.0,0.0,250.0,54.43013610950633,10.0,9.681076259917182,0.22931978919004614,10.0,10.0,0.0,350.0,28.092973475874217,0.0,6.121300594656019,0.13915481308924996,0.0,0.0,0.0,439.0997017408729,12.290675895694974,10.0,0.49912536793314694,0.06579008179728167,10.0,10.0,0.0,765.2306762524832,29.848784318116355,1.5987211554602254e-14,6.503881881822016,0.15686080628501675,1.5987211554602254e-14,1.5987211554602254e-14,0.0,375.20846298831117,3.511621684484278,118.53547718751793,0.0,0.06739231258301617,118.53547718751793,138.24010370546367,19.70462651794573,866.70014819392,0.0,0.0,0.0,0.0,0.0,6.5,6.5,6.5,0.0,0.0,94.82838175001434,94.82838175001434,91.07727338522643,3.7511083647879095,0.0,4.796163466380676e-15,0.0,0.0,7890.395015606194,0.0
2043,post_2025_baseline,42,179.46755512224814,163.2401037054637,0.9095800273997672,184.63634804314663,21.39624433768293,5.168792920898483,51.687929208984826,67.91538062576927,0.027720912803729833,16.227451416784447,0.09041997260023281,0.0,15.0,0.09188918445595147,10.000000000000016,0.061259456303967744,138.24010370546367,0.8468513592400807,3.919128639308333,4.898910799135416,0.030010461203667127,0.0835805669151866,0.05572037794345782,0.7702790825411228,112.01931353539399,3.919128639308333,0.9901475765016524,0.9661964697317326,0.03380353026826752,163.2401037054637,189.32827789613864,67.91538062576927,1.0,90.82063127634531,132.68583434643548,764.2152447071826,3.919128639308333,3.919128639308333,0.0,8.090909090909088,True,8.27272727272727,True,0.33092239929939143,0.4166666666666667,0.26293917555086,0.7,0.8986048543325187,-0.05555555555555555,0,0,38,0,40,40,57.23726789337543,5.0,7.814910940682354,0.3499776005972789,5.0,5.0,0.0,250.0,42.46636004992372,10.0,4.857101502248695,0.2291874465300033,10.0,10.0,0.0,350.0,20.309998284746136,0.0,3.038459594109647,0.13602382283113854,0.0,0.0,0.0,439.0997017408729,11.0781808825888,10.0,0.16130031135197087,0.060048319786984904,10.0,10.0,0.0,762.0299836232672,36.92726960862933,1.5987211554602254e-14,5.524471989290264,0.15577998098902707,1.5987211554602254e-14,1.5987211554602254e-14,0.0,375.20846298831117,16.6172713238832,138.24010370546367,0.0,0.06898282926556709,138.24010370546367,164.32827789613862,26.08817419067496,812.9354141870664,0.0,0.0,0.0,0.0,0.0,6.5,6.5,6.433741544721825,0.0,0.06625845527817464,110.59208296437095,110.59208296437095,105.58557199067216,3.919128639308333,1.0873823343904547,4.796163466380676e-15,0.0,0.0,10024.697991143024,0.0
2044,post_2025_baseline,42,185.74891955152682,189.32827789613864,1.0192698743726416,192.54045761410381,3.2121797179651708,6.791538062576928,67.91538062576927,64.33602228115745,0.024409296089556855,0.0,0.0,3.579358344611819,15.0,0.07922746758531587,10.000000000000016,0.052818311723544,164.32827789613862,0.86795422069114,4.058629805490526,5.073287256863157,0.026796246779608124,0.08075417093254744,0.05383611395503171,0.8846795894850623,114.25969980610186,4.058629805490526,0.8504996250578303,0.9656973706541165,0.0343026293458835,189.32827789613864,216.54512173281205,64.33602228115745,1.0,92.98813355333533,135.51056900801836,736.4300914833088,4.058629805490526,4.058629805490526,0.0,8.27272727272727,True,8.454545454545451,True,0.3393084789282035,0.45,0.2605091252149235,0.7,0.9272675528437316,-0.05555555555555555,0,0,33,0,40,40,73.16537389335947,5.0,1.4036938043708889,0.3572266876971365,5.0,5.0,0.0,250.0,40.433496098961804,10.0,0.6267010283885486,0.2288873744062591,10.0,10.0,0.0,350.0,30.806473218256603,0.0,0.6343815506482117,0.13326174083222397,0.0,0.0,0.0,439.0997017408729,13.477832032987264,10.0,0.07161717157136302,0.05556223102755107,10.0,10.0,0.0,759.0010734911016,23.104854913692453,1.5987211554602254e-14,0.4757861629861584,0.15472216034948189,1.5987211554602254e-14,1.5987211554602254e-14,0.0,375.20846298831117,11.552427456846226,164.32827789613862,0.0,0.07033980568734764,164.32827789613862,191.54512173281202,27.216843836673412,773.3728601284512,0.0,0.0,0.0,0.0,0.0,6.5,6.566258455278175,5.555100453128647,0.0,1.0111580021495277,131.4626223169109,132.55000465130138,108.70459935297322,4.058629805490526,19.78677549283765,4.796163466380676e-15,0.0,0.0,12630.022589353304,0.0
2045,post_2025_baseline,42,192.25013173583025,198.68373396394605,1.033464748086395,198.68373396394603,0.0,6.4336022281157454,64.33602228115745,57.90242005304168,0.02047491921418644,0.0,0.0,6.433602228115774,15.0,0.07549686982791434,9.407527191231901,0.04734925705059997,174.27620677271415,0.8771538731214856,4.174363247030318,5.217954058787897,0.02626261322295648,0.07802335355801686,0.04893378800987626,0.9065076065185018,116.5448938022239,4.174363247030318,0.7257650769403603,0.9654209001192979,0.034579099880702145,216.54512173281205,248.66448967214944,40.041032284175685,0.9175165543978193,95.03894582115716,138.3149923338936,709.7381137428551,4.174363247030318,4.174363247030318,0.0,8.454545454545451,True,8.636363636363633,True,0.3455287079445764,0.26666666666666666,0.2587264827433902,0.7,0.948294007711444,-0.05555555555555555,0,0,34,0,40,40,81.46033092521787,5.0,0.0,0.3594381709106031,5.0,5.0,0.0,250.0,51.65777083062595,10.0,0.0,0.22788067673071577,10.0,10.0,0.0,350.0,17.881536056755145,0.0,0.0,0.1314480180314124,0.0,0.0,0.0,439.0997017408729,3.97367467927892,9.407527191231885,0.0,0.053565292296307944,10.0,10.0,0.0,756.1270272355439,27.81572275495245,1.5987211554602254e-14,0.0,0.15363456304095735,1.5987211554602254e-14,1.5987211554602254e-14,0.0,375.20846298831117,15.894698717115684,174.27620677271415,0.0,0.07403327899000348,191.54512173281202,223.66448967214941,32.1193679393374,741.0657794190366,0.0,0.0,0.0,0.0,0.0,6.114892674300726,7.126050676450253,5.121532727487437,0.0,2.0045179489628167,139.42096541817133,159.20774091100898,111.42336107473646,4.174363247030318,43.61001658924219,4.796163466380676e-15,0.0,0.0,14017.434482496266,0.0
2046,post_2025_baseline,42,198.9788863465843,204.7691283518885,1.0290997809446911,204.7691283518885,0.0,5.790242005304169,57.90242005304168,52.112178047737444,0.017216085013247555,0.0,0.0,5.790242005304236,15.0,0.07325322972622626,10.000000000000016,0.04883548648415092,179.76912835188847,0.8779112837896228,4.271354948915001,5.3391936861437514,0.02607421210959367,0.07538488266475059,0.05025658844316714,0.9034583098367734,118.8757916782684,4.271354948915001,0.6285267643492509,0.9653150311160181,0.03468496888398181,248.66448967214944,286.64282586549865,8.216816727476498,0.8234755538350708,96.93524420890984,141.09172759031526,688.5803651977029,4.271354948915001,4.271354948915001,0.0,8.636363636363633,True,8.818181818181815,True,0.350056532923113,0.36666666666666664,0.25743889394830877,0.7,0.9634812525573887,-0.05555555555555555,0,0,34,0,40,40,75.76457749019877,5.0,0.0,0.357947482658157,5.0,5.0,0.0,250.0,47.09689952093436,10.0,0.0,0.2265626721809994,10.0,10.0,0.0,350.0,34.810751819821036,0.0,0.0,0.1305006438657964,0.0,0.0,0.0,439.0997017408729,12.28614770111331,10.0,0.0,0.053338035796430205,10.0,10.0,0.0,753.551575228794,28.66767796926438,1.5987211554602254e-14,0.0,0.15268801729680792,1.5987211554602254e-14,1.5987211554602254e-14,0.0,375.20846298831117,6.143073850556654,179.76912835188847,0.0,0.07896314820180884,223.66448967214941,261.64282586549865,37.97833619334922,715.9988292178788,0.0,0.0,0.0,0.0,0.0,6.5,8.504517948962818,5.274910309456319,0.0,3.229607639506499,143.8153026815108,187.425319270753,113.60088136881208,4.271354948915001,69.55308295302592,4.796163466380676e-15,0.0,0.0,14959.160128109745,0.0
2047,post_2025_baseline,42,205.94314736871473,211.15436517348846,1.0253041573432093,211.15436517348846,0.0,5.211217804773745,52.112178047737444,46.90096024296375,0.014507439821086618,0.0,0.0,5.211217804773696,15.0,0.07103807675335394,8.895557616356154,0.04212822031430605,187.25880755713231,0.8868337029323401,4.354139642225709,5.442674552782136,0.02577580884160425,0.0728356354248798,0.04319423942972864,0.9092742824886011,121.25330751183375,4.354139642225709,0.550012830632115,0.965335338462175,0.034664661537824985,286.64282586549865,332.7933190583991,0.0,0.7366462584086035,99.02263475204248,143.96078990343335,671.3314893372658,4.354139642225709,4.354139642225709,0.0,8.818181818181815,True,8.999999999999996,True,0.3533080264220287,0.45,0.2565192615052167,0.7,0.9743284136501729,-0.05555555555555555,0,0,35,0,40,40,76.01557146245587,5.0,0.0,0.3567814318946701,5.0,5.0,0.0,250.0,50.67704764163722,10.0,0.0,0.22544480179675605,10.0,10.0,0.0,350.0,31.673154776023264,0.0,0.0,0.1296659778667985,0.0,0.0,0.0,439.0997017408729,6.334630955204655,8.895557616356138,0.0,0.05316025188030251,10.0,10.0,0.0,750.938266455805,31.673154776023264,1.5987211554602254e-14,0.0,0.15187395060665654,1.5987211554602254e-14,1.5987211554602254e-14,0.0,375.20846298831117,14.780805562144192,187.25880755713231,0.0,0.08307358595481644,261.64282586549865,307.7933190583991,46.15049319290046,695.9595734723287,0.0,0.0,0.0,0.0,0.0,5.78211245063149,9.011720090137988,4.8777432373502965,0.0,4.133976852787692,149.80704604570585,219.36012899873177,116.37556427448345,4.354139642225709,98.63042508202261,4.796163466380676e-15,0.0,0.0,15987.892104316265,0.0
2048,post_2025_baseline,42,213.1511575266197,217.84125355091612,1.022003615081052,217.84125355091612,0.0,4.690096024296375,46.90096024296375,42.210864218667325,0.012249088056407053,0.0,0.0,4.690096024296423,15.0,0.06885748110375267,10.000000000000016,0.04590498740250185,192.8412535509161,0.8852375314937454,4.426464636795214,5.533080795994017,0.025399600423712986,0.07037259461341046,0.04691506307560704,0.9047159573920345,123.67837366207044,4.426464636795214,0.4860973659810209,0.9654465460042316,0.03455345399576848,332.7933190583991,379.446640741887,0.0,0.6545842151136724,100.96113335674318,146.81298494957906,657.3582524615304,4.426464636795214,4.426464636795214,0.0,8.999999999999996,True,9.0,True,0.35562048977836513,0.38333333333333336,0.2558676881208925,0.7,0.9820137900379085,-0.05555555555555555,0,0,31,0,40,40,78.42285127832983,5.0,0.0,0.3557331862016334,5.0,5.0,0.0,250.0,30.49777549712825,10.0,0.0,0.22445766458273947,10.0,10.0,0.0,350.0,37.03301310365573,0.0,0.0,0.12893524472350015,0.0,0.0,0.0,439.0997017408729,15.248887748564124,10.0,0.0,0.05300119037564257,10.0,10.0,0.0,748.7124615734501,37.03301310365573,1.5987211554602254e-14,0.0,0.15115674284160485,1.5987211554602254e-14,1.5987211554602254e-14,0.0,375.20846298831117,19.605712819582447,192.8412535509161,0.0,0.08671597127487947,307.7933190583991,354.446640741887,46.6533216834879,679.1213950387781,0.0,0.0,0.0,0.0,0.0,6.5,10.633976852787692,5.075790941164538,0.0,5.558185911623154,154.2730028407329,252.9034279227555,118.6025827209059,4.426464636795214,129.8743805650544,4.796163466380676e-15,0.0,0.0,16818.35171574384,0.0
2049,post_2025_baseline,42,220.61144804005139,224.83253446191807,1.019133578331349,224.83253446191807,0.0,4.221086421866732,42.210864218667325,37.98977779680067,0.010360887614783747,0.0,0.0,4.221086421866659,15.0,0.0667163230441664,7.495267267977568,0.03333711149018386,202.3372671939405,0.8999465654656498,4.470729283163166,5.588411603953958,0.024855884924877353,0.06799284503711155,0.03397496972422222,0.9171657635700154,126.15194113531186,4.470729283163166,0.4322759040341449,0.9657737108815773,0.034226289118422695,379.446640741887,433.2446605372977,0.0,0.5925274078651209,103.1722081074244,149.77409490546108,644.23099970742,4.470729283163166,4.470729283163166,0.0,9.0,True,9.0,True,0.35562048977836513,0.45,0.2558676881208925,0.7,0.9820137900379085,-0.05555555555555555,0,0,30,0,40,40,96.67798981862472,5.0,0.0,0.35489774716900596,5.0,5.0,0.0,250.0,44.966506892383634,10.0,0.0,0.22357862521302305,10.0,10.0,0.0,350.0,26.97990413543018,0.0,0.0,0.12825365485615403,0.0,0.0,0.0,439.0997017408729,4.496650689238362,7.495267267977552,0.0,0.052874054296277846,10.0,10.0,0.0,746.3125450941917,31.476554824668543,1.5987211554602254e-14,0.0,0.1505072009021578,1.5987211554602254e-14,1.5987211554602254e-14,0.0,375.20846298831117,20.23492810157263,202.3372671939405,0.0,0.08988871756338118,354.446640741887,408.2446605372977,53.79801979541074,664.7330880638525,0.0,0.0,0.0,0.0,0.0,4.871923724185409,10.430109635808563,4.419760757852122,0.0,6.010348877956441,161.86981375515242,291.7441943202068,121.73218037745974,4.470729283163166,165.5412846595839,4.796163466380676e-15,0.0,0.0,17964.548308054098,0.0
2050,post_2025_baseline,42,228.3328487214532,232.1318265011333,1.0166378942011736,232.13182650113328,0.0,3.798977779680067,37.98977779680067,34.19080001712055,0.008778158103714722,0.0,0.0,3.798977779680115,15.0,0.06461845506534523,10.000000000000016,0.043078970043563564,207.13182650113328,0.8923025748910911,4.515436575994799,5.644295719993498,0.024315044623861356,0.06569357008416575,0.0437957133894439,0.9071486107275639,128.6749799580181,4.515436575994799,0.3874550331400518,0.9660978868187434,0.03390211318125647,433.2446605372977,487.09234942983267,0.0,0.5357984705760713,105.1287737800672,152.69445919840044,634.2718758269809,4.515436575994799,4.515436575994799,0.0,9.0,True,9.0,True,0.35562048977836513,0.23333333333333334,0.2558676881208925,0.7,0.9820137900379085,-0.05555555555555555,0,0,26,0,40,40,78.92482101038532,5.0,0.0,0.35401389906317854,5.0,5.0,0.0,250.0,27.855819180135985,10.0,0.0,0.22276701582736283,10.0,10.0,0.0,350.0,34.81977397516999,0.0,0.0,0.12766043381357106,0.0,0.0,0.0,439.0997017408729,13.927909590067994,10.0,0.0,0.05274089567109807,10.0,10.0,0.0,744.5796561460396,55.711638360272005,1.5987211554602254e-14,0.0,0.14991945114518987,1.5987211554602254e-14,1.5987211554602254e-14,0.0,375.20846298831117,20.89186438510199,207.13182650113328,0.0,0.09289830447959962,408.2446605372977,462.09234942983267,53.84768889253499,651.9466117478469,0.0,0.0,0.0,0.0,0.0,6.5,12.510348877956442,4.745198157143754,0.0,7.765150720812688,165.70546120090663,331.24674586049053,123.92978180087434,4.515436575994799,202.8015274836214,4.796163466380676e-15,0.0,0.0,18673.346872162452,0.0
